Country/Region,ConfirmedCases,Fatalities,flu_vaccine,flu_vaccine_growth,medical_graduates,medical_graduates_growth,nursing_graduates,nursing_graduates_growth,health_spending,health_spending_growth,hospital_beds,doctors,doctors_growth,nurses_midwives,nurses_midwives_growth,infant_mortality,infant_mortality_growth,life_expectancy,life_expectancy_growth,overweight,overweight_growth,smokers,smokers_growth,alcohol
Afghanistan,24.0,0.0,,,,,,,10.19867734,0.010374445999999999,0.5,0.284,-0.023047816000000002,,,47.9,-0.032323232,64.13,0.006090538,23.0,0.031390135,,,0.2
Albania,76.0,2.0,,,,,,,6.69789475,-0.0178666,,1.1998,,3.5998,-1.0,7.8,-0.025,78.333,0.002165972,57.7,0.012280702,28.7,-0.013937281999999999,7.5
Algeria,139.0,15.0,,,,,,,6.648475,-0.047890855,1.9,1.83,,2.24,-1.0,20.1,-0.024271845,76.499,0.002733605,62.0,0.01141925,15.6,0.006410256,0.9
Andorra,88.0,0.0,,,,,,,10.36772767,0.010384183,,3.3333,,4.0128,-1.0,2.7,-0.035714286,,,63.7,0.0031496059999999997,33.5,-0.005970149,11.3
Antigua and Barbuda,1.0,0.0,,,,,,,4.30900835,-0.086296493,,2.7647,,3.1176,-1.0,5.0,-0.038461537999999997,76.752,0.001752023,48.0,0.012658228,,,7.0
Argentina,158.0,4.0,,,,,,,7.54838404,-0.136667969,,3.96,,2.58,-1.0,8.8,-0.053763440999999995,76.372,0.002011358,62.7,0.006420546,21.8,-0.032110092,9.8
Armenia,160.0,0.0,,,,,,,9.92732109,-0.018809392,4.2,,,,,11.0,-0.051724137999999996,74.797,0.002323177,54.4,0.009276438,24.1,-0.01659751,5.5
Aruba,0.0,0.0,,,,,,,,,,,,,,,,76.01,0.0018884120000000001,,,,,
Austria,2814.0,8.0,,,14.41,0.03371592539454804,34.45,0.08503937007874018,10.43762567,0.009160025,,5.1441,0.014595373,8.1778,0.00024462400000000003,2.9,0.0,81.64146341,0.005557558000000001,54.3,0.00742115,29.6,-0.033783784,11.6
Azerbaijan,53.0,1.0,,,,,,,6.89059972,0.0075393909999999995,,,,,,19.2,-0.058823529000000006,72.693,0.0031411729999999997,53.6,0.013232513999999999,20.8,-0.024038462000000003,0.8
Bahrain,305.0,1.0,,,,,,,4.86947429,-0.021224226000000002,,0.9257,,2.4944,-1.0,6.1,-0.016129031999999998,77.032,0.0017847370000000002,65.8,0.009202454,26.4,0.015151515,1.9
Bangladesh,25.0,2.0,,,,,,,2.36505997,-0.039809184,0.8,0.5268,0.09249274199999999,0.3067,-0.039774858999999996,25.1,-0.05283018900000001,72.05199999999999,0.003789468,20.0,0.030927835,23.0,-0.008695652,0.0
Barbados,6.0,0.0,,,,,,,6.96244846,-0.00716788,,2.4886,,6.0273,-1.0,11.3,-0.025862068999999998,78.98100000000001,0.001104047,52.4,0.011583012,7.8,0.0,9.6
Belarus,76.0,0.0,,,,,,,6.31679395,0.041467774,,,,,,2.6,-0.037037037,74.12926829,0.002749619,59.4,0.006779661,26.7,-0.018726592,11.2
Belgium,2815.0,67.0,,,28.79,0.9452702702702702,63.19,0.11054481546572936,10.03841793,-0.0066517469999999995,,3.3234,0.10272745400000001,11.1011,0.026046047000000003,2.9,-0.033333333,81.43902439,0.0055108859999999996,59.5,0.005067568,28.2,-0.014184397,12.1
Benin,2.0,0.0,,,,,,,3.85561779,-0.034120237000000005,,0.1572,,0.6145,-1.0,60.5,-0.022617124,61.174,0.004570354,29.5,0.020761246,6.4,-0.015625,3.0
Bhutan,2.0,0.0,,,,,,,3.45418055,-0.055957016,,0.3715,-0.008804695999999999,1.5094,0.04135698,24.8,-0.03125,71.12899999999999,0.005140658,27.1,0.026515152,,,0.6
Bolivia,19.0,0.0,,,,,,,6.86056405,0.068231601,,1.6111,,0.7357,-1.0,21.8,-0.043859649,70.945,0.004966063,56.1,0.010810811000000002,,,4.8
